Kläranlage,Anfang_Probenahme,loess_change_15,color,trend,long,lat,Bundesland,trend_en
Pirmasens-Blümelstal,2024-07-10,-1,#eac66c,Fallend,7.58750256921509,49.2131665503169,Rheinland-Pfalz,Decreasing
Pirmasens-Felsalbe,2024-07-10,2,#9a333d,Ansteigend,7.5721796265692,49.1697365890459,Rheinland-Pfalz,Increasing
Plauen,2024-07-10,1,#9a333d,Ansteigend,12.1691330330449,50.5251186715911,Sachsen,Increasing
Potsdam,2024-07-10,2,#9a333d,Ansteigend,13.0262081987397,52.4372278759306,Brandenburg,Increasing
Ratzeburg,2024-07-17,-2,#eac66c,Fallend,10.7430415598514,53.7236166869595,Schleswig-Holstein,Decreasing
Regensburg,2024-07-17,1,#9a333d,Ansteigend,12.187,49.006,Bayern,Increasing
Rollsdorf,2024-07-17,-2,#eac66c,Fallend,11.7402207347981,51.4856000265324,Sachsen-Anhalt,Decreasing
Rostock,2024-07-17,0,#ce7b47,Unverändert,12.0962860631194,54.1042239326681,Mecklenburg-Vorpommern,Unchanged
Saalfeld,2024-07-09,2,#9a333d,Ansteigend,11.3606306691615,50.6639091076485,Thüringen,Increasing
Saarbrücken,2024-07-17,2,#9a333d,Ansteigend,6.92279042362439,49.2424759662372,Saarland,Increasing
Saarlouis,2024-07-17,0,#ce7b47,Unverändert,6.73745557101037,49.3280967337098,Saarland,Unchanged
Schleswig,2024-07-17,0,#ce7b47,Unverändert,9.59249703884017,54.5256723463569,Schleswig-Holstein,Unchanged
Schmalkalden,2024-07-03,2,#9a333d,Ansteigend,10.3578166857149,50.7153514635475,Thüringen,Increasing
Schwabmünchen,2024-07-17,2,#9a333d,Ansteigend,10.7269272323514,48.2008672799181,Bayern,Increasing
Schweinfurt,2024-07-17,2,#9a333d,Ansteigend,10.2128066684023,50.02228411208,Bayern,Increasing
Schwerin,2024-07-17,-1,#eac66c,Fallend,11.3579520710899,53.5234890611285,Mecklenburg-Vorpommern,Decreasing
Schwäbisch Hall,2024-07-17,1,#9a333d,Ansteigend,9.73320733766015,49.1266510736416,Baden-Württemberg,Increasing
Schönebeck,2024-07-07,0,#ce7b47,Unverändert,11.6968824523625,52.0288048650089,Sachsen-Anhalt,Unchanged
Silstedt,2024-07-09,1,#9a333d,Ansteigend,10.8609940089291,51.8674866014636,Sachsen-Anhalt,Increasing
Speyer,2024-07-10,2,#9a333d,Ansteigend,8.45657130066822,49.3363794235716,Rheinland-Pfalz,Increasing
Stadtbergen,2024-07-17,-1,#eac66c,Fallend,10.8541005449657,48.3686972656461,Bayern,Decreasing
Starnberg,2024-07-17,1,#9a333d,Ansteigend,11.361542213344901,48.0138769650071,Bayern,Increasing
Stendal,2024-07-07,1,#9a333d,Ansteigend,11.9051742591898,52.6103343834125,Sachsen-Anhalt,Increasing
Straubing,2024-07-17,2,#9a333d,Ansteigend,12.622,48.901,Bayern,Increasing
Stuttgart,2024-07-03,2,#9a333d,Ansteigend,9.24139560614413,48.8467869302811,Baden-Württemberg,Increasing
Suhl,2024-07-03,2,#9a333d,Ansteigend,10.6080025312144,50.6025151888703,Thüringen,Increasing
Teisendorf,2024-07-17,2,#9a333d,Ansteigend,12.8333071334209,47.8538570533178,Bayern,Increasing
Trier,2024-07-10,2,#9a333d,Ansteigend,6.68658864213322,49.7740187639916,Rheinland-Pfalz,Increasing
Tübingen,2024-07-03,2,#9a333d,Ansteigend,9.24139560614413,48.8467869302811,Baden-Württemberg,Increasing
Waldbröl,2024-07-10,-2,#eac66c,Fallend,7.59990061716502,50.8679642209816,Nordrhein-Westfalen,Decreasing
Weiden,2024-07-16,2,#9a333d,Ansteigend,12.162,49.661,Bayern,Increasing
Weil am Rhein,2024-07-17,2,#9a333d,Ansteigend,7.582,47.615,Baden-Württemberg,Increasing
Weimar,2024-07-03,2,#9a333d,Ansteigend,11.3612495061384,50.993189459856,Thüringen,Increasing
Weißenfels,2024-07-10,2,#9a333d,Ansteigend,11.9848967657867,51.2152466608731,Sachsen-Anhalt,Increasing
Wellesweiler,2024-07-17,0,#ce7b47,Unverändert,7.2282652031512,49.342444126791,Saarland,Unchanged
Wiesbaden-Biebrich,2024-07-17,2,#9a333d,Ansteigend,8.22233367267311,50.0430420303513,Hessen,Increasing
Wiesbaden-Stadt,2024-07-17,-1,#eac66c,Fallend,8.25293369795964,50.0556189270754,Hessen,Decreasing
Wolfsburg,2024-07-17,-2,#eac66c,Fallend,10.8015145303616,52.4701356792934,Niedersachsen,Decreasing
Worms,2024-07-10,2,#9a333d,Ansteigend,8.35195190594336,49.6744609744594,Rheinland-Pfalz,Increasing
Wuppertal,2024-07-17,-2,#eac66c,Fallend,7.10640872272799,51.223498876855,Nordrhein-Westfalen,Decreasing
Wustweiler,2024-07-17,-1,#eac66c,Fallend,7.02688065854272,49.4013270527406,Saarland,Decreasing
Zeitz,2024-07-10,-2,#eac66c,Fallend,12.1955484473379,51.0762078775797,Sachsen-Anhalt,Decreasing
Zittau,2024-07-10,2,#9a333d,Ansteigend,14.8316066164589,50.8939829141488,Sachsen,Increasing
Zusmarshausen,2024-07-17,2,#9a333d,Ansteigend,10.5941207626367,48.4247712567345,Bayern,Increasing
Zweibrücken,2024-07-10,2,#9a333d,Ansteigend,7.34040503793359,49.2531118741963,Rheinland-Pfalz,Increasing
